dimension;identifier;desc_eng;details_eng;desc_swe;details_swe
Byggdelar;62K;Switchgear and switchboard assemblies;;Kopplingsutrustningar och kopplingsapparater;
Byggdelar;62KB;Switchgear and control gear;;Kopplingsutrustningar;
Byggdelar;62KBB;Outdoor switchgear;;Utomhusställverk;
Byggdelar;62KBC;Indoor switchgear;;Inomhusställverk;
Byggdelar;62KBD;Cable cabinets;;Kabelskåp;
Byggdelar;62KBE;Enclosed switchgear;;Kapslade kopplingsutrustningar;
Byggdelar;62KBF;Device cabinets, device panels, etc.;;Apparatskåp, apparattavlor m m;
Byggdelar;62KBG;Meter cabinets, meter boards, etc.;;Mätarskåp, mätartavlor o d;
Byggdelar;62KBH;Miscellaneous switchgear and controlgear;;Diverse kopplingsutrustningar;
Byggdelar;62KC;Rail systems;;Skensystem;
Byggdelar;62KCB;Channel rail distributions;;Kanalskenfördelningar;
Byggdelar;62KCC;Contact rail systems;;Kontaktskensystem;
Byggdelar;62KCD;Installation railsystems;;Installationsskensystem;
Byggdelar;62KF;Electrical switches in switchgear etc.;;Elkopplare i kopplingsutrustning m m;
Byggdelar;62KFB;Circuit breakers;;Effektbrytare;
Byggdelar;62KFC;Disconnectors;;Frånskiljare;
Byggdelar;62KFD;Circuit breakers and switch disconnectors;;Lastbrytare och lastfrånskiljare;
Byggdelar;62KFE;Earthing switches;;Jordningskopplare;
Byggdelar;62KFF;Starting switches, pulling switches, etc. for 1 kV or less;;Startkopplare, pådrag m m för högst 1 kV;
Byggdelar;62KFG;Contactors;;Kontaktorer;
Byggdelar;62KFH;Safety switches;;Säkerhetsbrytare;
Byggdelar;62KY;Miscellaneous devices and equipment for switchgear;;Diverse apparater och utrustningar för kopplingsutrustning;
Byggdelar;62KYB;Earthing and actuating equipment;;Don för jordning och manövrering;
Byggdelar;62KYC;Equipment for testing in switchgear;;Don för provning i kopplingsutrustning;
Byggdelar;62KYD;Protective screens;;Skyddsskärmar;
Byggdelar;62L;Devices and equipment for actuation and automatic control in electrical systems;;Apparater och utrustningar för manövrering och automatisk styrning i elsystem;
Byggdelar;62LB;Control devices;;Styrdon;
Byggdelar;62LC;Light relays;;Ljusreläer;
Byggdelar;62LD;Light sensors;;Ljusgivare;
Byggdelar;62LE;Motion detectors;;Rörelsedetektorer;
Byggdelar;62LF;Presence detectors;;Närvarodetektorer;
Byggdelar;62LG;Rail temperature sensors;;Rälstemperaturgivare;
Byggdelar;62LH;Snow detector;;Snödetektor;
Byggdelar;62LJ;Voltage regulation device;;Don för spänningsreglering;
Byggdelar;62LK;Voltage stabilisation device;;Don för spänningsstabilisering;
Byggdelar;62LM;Phasing devices;;Fasningsdon;
Byggdelar;62LN;Reconnectors;;Återinkopplingsdon;
Byggdelar;62M;Outlets in electrical power systems;;Uttag i elkraftsystem;
Byggdelar;62MB;Socket Outlet Centres;;Uttagscentraler;
Byggdelar;62N;Light fittings, light sources, etc.;;Ljusarmaturer, ljuskällor m m;
Byggdelar;62NB;Fixed light fittings;;Fasta ljusarmaturer;
Byggdelar;62NC;Movable light fittings;;Flyttbara ljusarmaturer;
Byggdelar;62ND;Guiding light fittings;;Vägledningsarmaturer;
Byggdelar;62NE;Floodlights;;Strålkastare;
Byggdelar;62NF;Spotlights;;Spotlights;
Byggdelar;62NG;Light chains;;Ljuskedjor;
Byggdelar;62NH;Indication lights;;Indikeringsljus;
Byggdelar;62NJ;Incandescent lamps;;Glödlampor;
Byggdelar;62NK;Fluorescent lamps;;Lysrör;
Byggdelar;62NL;Fluorescent lamps;;Lysrörslampor;
Byggdelar;62NM;Discharge lamps;;Urladdningslampor;
Byggdelar;62NN;Induction lamps;;Induktionslampor;
Byggdelar;62NP;Signal lamps, etc.;;Signallampor m m;
Byggdelar;62NQ;LED lamps;;LED-lampor;
Byggdelar;62NR;Miscellaneous light sources;;Diverse ljuskällor;
Byggdelar;62NS;Connection devices, igniters and operation devices;;Förkopplingsdon, tänddon och driftdon;
Byggdelar;62NT;Glare shields and reflectors;;Bländskydd och reflektorer;
Byggdelar;62NU;Fixtures and fittings for light fittings;;Fäst- och upphängningsanordningar för ljusarmaturer;
Byggdelar;62NV;Holders for light sources, etc.;;Hållare för ljuskällor m m;
Byggdelar;62P;Electrical devices and equipment for heating;;Elapparater och utrustningar för uppvärmning;
Byggdelar;62PB;Electric space-heating devices;;Elektriska rumsvärmeapparater;
Byggdelar;62PC;Electric heating cables;;Elvärmekablar;
Byggdelar;62PD;Heating foil elements;;Värmefolieelement;
Byggdelar;62PE;Electric fan heaters;;Elektriska fläktvärmare;
Byggdelar;62PF;Electric tubular elements;;Elektriska rörelement;
Byggdelar;62PG;Miscellaneous appliances and equipment for electric heating;;Diverse apparater och utrustningar för eluppvärmning;
Byggdelar;62Q;Rotary electrical machines;;Roterande elmaskiner;
Byggdelar;62QB;Direct current generators;;Likströmsgeneratorer;
Byggdelar;62QC;Direct current motors;;Likströmsmotorer;
Byggdelar;62QD;Synchronous machines;;Synkronmaskiner;
Byggdelar;62QE;Asynchronous machines;;Asynkronmaskiner;
Byggdelar;62R;Devices for voltage equalisation and electrical separation;;Anordningar för spänningsutjämning och elektrisk separation;
Byggdelar;62RB;Grounding electrodes;;Jordelektroder;
Byggdelar;62RC;Grounding conductors;;Jordtagsledare;
Byggdelar;62RD;Conductors in lightning protection systems;;Ledare i åskskyddssystem;
Byggdelar;62RE;Grounding conductors;;Jordledare;
Byggdelar;62RE-;Dummy 62RE-;;Dummy 62RE-;
Byggdelar;62RE-C;Longitudinal earth conductors Cable;;Längsgående jordledare Kabel;
Byggdelar;62RE-L;Longitudinal earth conductor Overhead line;;Längsgående jordledare Friledning;
Byggdelar;62RE-O;Longitudinal earth conductor Bracket;;Längsgående jordledare Konsol;
Byggdelar;62RE-V;Longitudinal earth conductor Tension;;Längsgående Jordledare Avspänning;
Byggdelar;62REA;Collective earth conductor;;Samlingsjordledare;
Byggdelar;62REAC;Collector Cable;;Samlingsjordledare Kabel;
Byggdelar;62REAL;Collective earth conductor Overhead line;;Samlingsjordledare Friledning;
Byggdelar;62REAO;Collective earth conductor Console;;Samlingsjordledare Konsol;
Byggdelar;62REAV;Collective earthing conductor Tension;;Samlingsjordledare Avspänning;
Byggdelar;62REB;Longitudinal earth wire;;Längsgående jordlina;
Byggdelar;62REC;Contact connection over rail joint in S-rail;;Kontaktförbindning över rälsskarv i S-räl;
Byggdelar;62RED;Contact connection in switch junction;;Kontaktförbindning i spårväxelkorsning;
Byggdelar;62REE;Contact connection in switches tongue root;;Kontaktförbindning i växelns tungrot;
Byggdelar;62REF;Z-connection (S-rail);;Z-förbindning (S-räl);
Byggdelar;62REG;Cross-connection;;Tvärförbindning;
Byggdelar;62RF;Potential equalisation conductor;;Potentialutjämningsledare;
Byggdelar;62RG;Protective compensator;;Skyddsutjämningsledare;
Byggdelar;62RH;Voltage compensator;;Spänningsutjämningsledare;
Byggdelar;62RJ;Diverter conductor;;Ledare för avledare;
Byggdelar;62RK;Static electricity eliminators;;Eliminatorer för statisk elektricitet;
Byggdelar;62RL;Devices for emergency protection;;Anordningar för nempskydd;
Byggdelar;62RM;Conductors for discharging electric fields;;Ledare för avledning av elektriska fält;
Byggdelar;62RN;Electric field shielding devices;;Anordningar för skärmning av elektriska fält;
Byggdelar;62RO;Mains disconnectors;;Nätbortkopplare;
Byggdelar;62RP;Stray current reduction devices;;Anordningar för minskning av vagabonderande strömmar;
Byggdelar;62RQ;Devices for geometrical distribution of current paths;;Anordningar för geometrisk fördelning av strömbanor;
Byggdelar;62RR;Magnetic field shielding devices;;Anordningar för skärmning av magnetiska fält;
Byggdelar;62RS;Electrical separation devices;;Anordningar för elektrisk separation;
Byggdelar;62S;Uninsulated conductors;;Oisolerade ledare;
Byggdelar;62SB;Auxiliary power lines;;Hjälpkraftledningar;
Byggdelar;62SC;Recirculation systems;;Återledningar;
Byggdelar;62SD;Bypasses;;Förbiledningar;
Byggdelar;62SE;Booster cables;;Förstärkningsledningar;
Byggdelar;62SF;Feeder lines;;Matarledningar;
Byggdelar;62SG;AT feeder lines;;AT-matarledningar;
Byggdelar;62SGL;AT line, free line;;AT-ledning, friledning;
Byggdelar;62SH;Contact cables (suspension);;Kontaktledningar (hängverk);
Byggdelar;62SJ;Contact rails;;Kontaktskenor;
Byggdelar;62SK;Conductor rails;;Strömskenor;
Byggdelar;63;ELECTRICAL SYSTEMS;;ELKRAFTSYSTEM;
Byggdelar;63B;Electricity distribution network;;Eldistributionsnät;
Byggdelar;63BB;High-voltage networks;;Högspänningsnät;
Byggdelar;63BBB;High-voltage alternating current networks;;Högspänningsnät för växelström;
Byggdelar;63BBC;High-voltage direct current networks;;Högspänningsnät för likström;
Byggdelar;63BC;Low-voltage networks;;Lågspänningsnät;
Byggdelar;63BCB;Low-voltage alternating current networks, up to 1 000 V;;Lågspänningsnät för växelström, högst 1 000 V;
Byggdelar;63BCC;Low-voltage direct current network, maximum 1 500 V;;Lågspänningsnät för likström, högst 1 500 V;
Byggdelar;63BD;Low voltage networks;;Klenspänningsnät;
Byggdelar;63BDB;Alternating current low voltage network, maximum 50 V;;Klenspänningsnät för växelström, högst 50 V;
Byggdelar;63BDC;Direct current low voltage network, maximum 120 V;;Klenspänningsnät för likström, högst 120 V;
Byggdelar;63C;Transformer and distribution systems;;Transformator- och fördelningssystem;
Byggdelar;63D;Power rectifier stations;;Strömriktarstationer;
Byggdelar;63DB;Rectifier stations;;Likriktarstationer;
Byggdelar;63DC;Inverter stations;;Växelriktarstationer;
Byggdelar;63E;Overhead electricity contact line and busbar systems for railway installations;;Kontaktlednings- och strömskenesystem för spåranläggning;
Byggdelar;63EH;Railway electricity contact line systems;;Kontaktledningssystem för järnväg;
Byggdelar;63EHB;Interlock system for overhead electricity contact lines;;Förreglingssystem för kontaktledningar;
Byggdelar;63F;Lighting systems;;Belysnings- och ljussystem;
Byggdelar;63FB;Industrial or port area lighting systems;;Belysningssystem inom industri- eller hamnområde;
Byggdelar;63FC;Lighting systems for roads, etc.;;Belysningssystem vid väg e d;
Byggdelar;63FCB;Lighting system at road;;Belysningssystem vid väg;
Byggdelar;63FCBB;Lighting system at motor vehicle lanes;;Belysningssystem vid motorfordonskörfält;
Byggdelar;63FCBC;Pedestrian and cycle path lighting systems;;Belysningssystem vid gång- och cykelväg;
Byggdelar;63FCC;Lighting system on bridge;;Belysningssystem på bro;
Byggdelar;63FCD;Lighting systems in open spaces;;Belysningssystem på öppen plats;
Byggdelar;63FCDB;Parking lot lighting system;;Belysningssystem på parkeringsplats;
Byggdelar;63FCDC;Lighting systems in squares etc.;;Belysningssystem på torg e d;
Byggdelar;63FCE;Lighting systems in tunnels;;Belysningssystem i tunnel;
Byggdelar;63FCEB;Lighting systems in road tunnels;;Belysningssystem i vägtrafiktunnel;
Byggdelar;63FCEC;Lighting system in pedestrian or bicycle tunnel;;Belysningssystem i gång- eller cykeltunnel;
Byggdelar;63FD;Lighting system in courtyard or park;;Belysningssystem på gård eller i park;
Byggdelar;63FE;Facade lighting system etc.;;Belysningssystem vid fasad e d;
Byggdelar;63FF;General lighting and workplace lighting systems in buildings;;System för allmänbelysning och arbetsplatsbelysning i hus;
Byggdelar;63FG;Lighting systems in sports facilities;;Belysningssystem i sportanläggning;
Byggdelar;63FGB;Indoor sports facility lighting systems;;Belysningssystem i sportanläggning inomhus;
Byggdelar;63FGC;Outdoor sports facility lighting systems;;Belysningssystem i sportanläggning utomhus;
Byggdelar;63FH;Emergency and back-up lighting systems;;Nödbelysnings- och reservbelysningssystem;
Byggdelar;63FHB;Emergency lighting systems;;Nödbelysningssystem;
Byggdelar;63FHC;Backup lighting systems;;Reservbelysningssystem;
Byggdelar;63FJ;Lighting systems for directional signage, etc.;;Belysningssystem för vägledande skyltning m m;
Byggdelar;63FK;Airport lighting systems;;Flygplatsljussystem;
Byggdelar;63FKB;Obstruction lighting systems;;Hinderljussystem;
Byggdelar;63FKC;Approach lighting systems;;Inflygningsljussystem;
Byggdelar;63FKD;Visual glide path indicator systems;;System för visuell glidbaneindikering;
Byggdelar;63FKE;Runway lighting systems;;Banljussystem;
Byggdelar;63FKF;Taxiway lighting systems;;Ljussystem för taxibanljus;
Byggdelar;63FKG;Runway guidance light sign system;;Ljusskyltssystem för banvägledning;
Byggdelar;63FKH;Visual docking light systems;;Visuella dockningsljussystem;
Byggdelar;63FL;Lighting systems for track traffic;;Belysningssystem för spårtrafik;
Byggdelar;63FM;Warning lighting systems;;Varningsljussystem;
Byggdelar;63FMB;Aviation warning light systems;;Varningsljussystem för luftfart;
Byggdelar;63G;Light distribution systems;;Ljusdistributionssystem;
Byggdelar;63GB;Fibre optic lighting systems;;Fiberoptiska ljussystem;
Byggdelar;63GC;Light tube systems;;Ljustubssystem;
Byggdelar;63H;Electric heating systems;;Elvärmesystem;
Byggdelar;63HB;Electric heating systems in track installations;;Elvärmesystem i spåranläggning;
Byggdelar;63HG;Industrial electric heating systems;;Industriella elvärmesystem;
Byggdelar;63J;Motor drive systems;;Motordriftsystem;
Byggdelar;63JB;Motor drive systems without speed control;;Drivsystem med motor utan hastighetsreglering;
Byggdelar;63JC;Drive systems with multi-speed motor;;Drivsystem med flerhastighetsmotor;
Byggdelar;63JD;Drive systems with speed-controlled motor;;Drivsystem med varvtalsstyrd motor;
Byggdelar;63JE;Electric motor braking systems;;Bromssystem för elmotor;
Byggdelar;63K;Phase compensation systems;;Faskompenseringssystem;
Byggdelar;63L;Inverter systems;;Omriktarsystem;
Byggdelar;63M;Power supply systems for electric power systems;;Strömförsörjningssystem för elkraftsystem;
Byggdelar;63N;Systems for standby, uninterruptible or emergency power;;System för reservkraft, avbrottsfri kraft eller nödkraft;
Byggdelar;63NB;Standby power system;;System för reservkraft;
Byggdelar;63NC;Uninterruptible power system;;System för avbrottsfri kraft;
Byggdelar;63ND;Emergency power system;;System för nödkraft;
Byggdelar;64;TELECOMMUNICATION SYSTEMS;;TELESYSTEM;
Byggdelar;64B;Multi-function networks in telecommunications systems;;Flerfunktionsnät i telesystem;
Byggdelar;64BB;Multi-function networks for telecom operators and others;;Flerfunktionsnät för teleoperatörer m fl;
Byggdelar;64BBB;Public telecommunications networks;;Allmänt tillgängliga telenät;
Byggdelar;64BBC;Digital television networks for telecommunications operators;;Digitala tv-nät för teleoperatörer;
Byggdelar;64BBD;Cable television networks for telecommunications operators;;Kabel-tv-nät för teleoperatörer;
Byggdelar;64BC;Multi-function networks in buildings;;Flerfunktionsnät i fastighet;
Byggdelar;64BCB;Multi-function networks for security systems;;Flerfunktionsnät för säkerhetssystem;
Byggdelar;64BCC;Multi-function networks for signalling systems;;Flerfunktionsnät för signalsystem;
Byggdelar;64BCD;Multi-function networks for telecommunications systems;;Flerfunktionsnät för telekommunikationssystem;
Byggdelar;64C;Telecommunications security systems;;Teletekniska säkerhetssystem;
Byggdelar;64CB;Telecommunication alarm systems;;Teletekniska larmsystem;
Byggdelar;64CBB;Fire detection and fire alarm systems;;Branddetekterings- och brandlarmsystem;
Byggdelar;64CBC;Gas alarm systems;;Gaslarmsystem;
Byggdelar;64CBE;Burglar and assault alarm systems;;Inbrottslarmsystem och överfallslarmsystem;
Byggdelar;64CBEB;Burglar alarm systems;;Inbrottslarmsystem;
Byggdelar;64CBEC;Assault alarm systems;;Överfallslarmsystem;
Byggdelar;64CBF;Perimeter alarm systems;;Områdeslarmsystem;
Byggdelar;64CBG;Breakout alarm systems;;Utbrytningslarmsystem;
Byggdelar;64CBH;Emergency signalling systems;;Nödsignalsystem;
Byggdelar;64CBJ;Security alarm system;;Trygghetslarmsystem;
Byggdelar;64CBK;Evacuation alarm system;;Utrymningslarmsystem;
Byggdelar;64CBL;Alarm systems for rail traffic;;Larmsystem för spårtrafik;
Byggdelar;64CC;Teletechnical control systems;;Teletekniska kontrollsystem;
Byggdelar;64CCB;Entrance and access control systems;;Entré- och passerkontrollsystem;
Byggdelar;64CCC;Door control systems;;Dörrkontrollsystem;
Byggdelar;64CD;Teletechnical object detection systems;;Teletekniska system för detektering av föremål;
Byggdelar;64CDB;Metal detection systems;;System för metalldetektering;
Byggdelar;64CDC;X-ray detection systems;;System för röntgendetektering;
Byggdelar;64CDD;Trace element detection systems;;System för spårämnesdetektering;
Byggdelar;64CDE;Product alarm systems;;System för varularm;
Byggdelar;64D;Teletechnical signalling systems;;Teletekniska signalsystem;
Byggdelar;64DB;Event-triggered signalling systems;;Händelseaktiverade signalsystem;
Byggdelar;64DBB;Entrance signalling systems;;Entrésignalsystem;
Byggdelar;64DBC;Call signalling systems;;Kallelsesignalsystem;
Byggdelar;64DBD;Result marking systems;;Resultatmarkeringssystem;
Byggdelar;64DBE;Queuing systems;;Kösignalsystem;
Byggdelar;64DBF;Paging system;;Personsökningssystem;
Byggdelar;64DBG;Booking system;;Bokningssystem;
Byggdelar;64DBGB;Reservation system in laundry rooms;;Bokningssystem i tvättstugor;
Byggdelar;64DBH;Wireless signalling system - assault alarm system;;Trådlöst signalsystem - överfallslarmsystem;
Byggdelar;64DC;Time-activated signalling systems;;Tidsaktiverade signalsystem;
Byggdelar;64DCB;Timing systems;;Tidgivningssystem;
Byggdelar;64DCC;Time registration system;;Tidregistreringssystem;
Byggdelar;64DCCB;Attendance time system;;Närvarotidsystem;
Byggdelar;64DCCC;Sports time registration systems;;Tidredovisningssystem för sport;
Byggdelar;64DCD;Time signalling systems;;Tidsignaleringssystem;
Byggdelar;64DCDB;Time signal system;;Rastsignalsystem;
Byggdelar;64DCDC;Wake-up system;;Väckningssystem;
Byggdelar;64E;Telecommunication systems;;Telekommunikationssystem;
Byggdelar;64EA;Compound telecommunication systems;;Sammansatta telekommunikationssystem;
Byggdelar;64EB;Telephone system;;Telefonsystem;
Byggdelar;64EBB;Publicly available telephone systems in the building;;Allmänt tillgängliga telefonsystem i fastighet;
Byggdelar;64EBC;Internal telephone system;;Interntelefonsystem;
Byggdelar;64EBD;Door phone system;;Porttelefonsystem;
Byggdelar;64EBG;Fast telephone system;;Snabbtelefonsystem;
Byggdelar;64EBH;Auxiliary telephone system;;Hjälptelefonsystem;
Byggdelar;64EBHB;Lift telephone system;;Hisstelefonsystem;
Byggdelar;64EBI;Mobile phone systems;;Mobila telefonsystem;
Byggdelar;64EBJ;Teleconferencing systems;;Telefonkonferenssystem;
Byggdelar;64EC;Audio and video transmission systems;;Ljudöverföringssystem och bildöverföringssystem;
Byggdelar;64ECB;Sound transmission systems;;Ljudöverföringssystem;
Byggdelar;64ECC;Image transmission systems;;Bildöverföringssystem;
Byggdelar;64ECD;Image display systems;;Bildvisningssystem;
Byggdelar;64ECE;Radio communication systems;;Radiokommunikationssystem;
Byggdelar;64ED;Data communication systems;;Datakommunikationssystem;
Byggdelar;64EDB;Local area network systems;;Lokala datanätsystem;
Byggdelar;64EE;Telephone exchange systems;;Telefonväxelsystem;
Byggdelar;64M;Common power supply systems for telecommunications systems;;Gemensamma strömförsörjningssystem för telesystem;
Byggdelar;64MB;Direct current supply systems;;System för likströmsförsörjning;
Byggdelar;64MC;Alternating current supply systems;;System för växelströmsförsörjning;
Byggdelar;64Q;Telecommunications control systems;;Teletekniska styrsystem;
Byggdelar;64QB;Systems for opening fire ventilators, etc.;;System för öppning av brandventilatorer m m;
Byggdelar;64QC;Fire damper closing systems, etc.;;System för stängning av brandspjäll m m;
Byggdelar;64QD;System for starting flue gas fans;;System för start av rökgasfläktar;
Byggdelar;64QE;Fan shutdown systems during fire;;System för fläktavstängning vid brand;
Byggdelar;64QF;Fire door closing system;;System för stängning av branddörrar;
Byggdelar;64QG;System for activating automatic fire extinguishing systems;;System för aktivering av automatiska brandsläckningssystem;
Byggdelar;64QH;AV system control system;;System för manöver av AV-system;
Byggdelar;64T;Devices and equipment of telecommunications and data communications systems;;Apparater och utrustning i tele- och datakommunikationssystem;
Byggdelar;64TB;Devices of telecommunications and data communications systems;;Apparater i tele- och datakommunikationssystem;
Byggdelar;64TBB;Central equipment;;Centralapparater;
Byggdelar;64TBC;Auxiliary equipment;;Tillsatsapparater;
Byggdelar;64TBD;Sub-centres;;Undercentraler;
Byggdelar;64TBE;Control devices;;Manöverapparater;
Byggdelar;64TC;Detectors and alarms;;Detektorer och larmutlösare;
Byggdelar;66;VOLTAGE EQUALISATION AND ELECTRICAL SEPARATION SYSTEMS;;SYSTEM FÖR SPÄNNINGSUTJÄMNING OCH ELEKTRISK SEPARATION;
Byggdelar;66B;Voltage equalisation systems for electrical power systems;;System för spänningsutjämning i elkraftsystem;
Byggdelar;66BB;Earthing systems in electrical power systems;;System för jordning i elkraftsystem;
Byggdelar;66BBB;System grounding in electrical power systems;;Systemjordning i elkraftsystem;
Byggdelar;66BC;Earthing systems in track installations;;System för jordning i spåranläggning;
Byggdelar;66BCB;Earthing systems - railway;;System för jordning - järnväg;
Byggdelar;66C;Voltage equalisation systems in telecommunications systems;;System för spänningsutjämning i teletekniskt system;
Byggdelar;66CB;Earthing system in telecommunications system;;System för jordning i teletekniskt system;
Byggdelar;66D;Lightning protection systems;;Åskskyddssystem;
Byggdelar;66DB;Initial protection system;;System för inledningsskydd;
Byggdelar;66DC;Impact protection system;;System för inslagsskydd;
Byggdelar;66E;Static electricity protection systems;;System för skydd mot statisk elektricitet;
Byggdelar;66F;Electromagnetic interference protection systems;;System för skydd mot elektromagnetisk störning;
Byggdelar;66FB;Radio interference protection systems, etc.;;System för skydd mot radiostörning m m;
Byggdelar;66FC;NEMP protection systems;;System för NEMP-skydd;
Byggdelar;66FD;LEMP protection systems;;System för LEMP-skydd;
Byggdelar;66FE;Electromagnetic sabotage protection systems;;System för skydd mot elektromagnetiskt sabotage;
Byggdelar;66G;Potential equalisation systems;;System för potentialutjämning;
Byggdelar;66GB;Protection equalisation systems;;System för skyddsutjämning;
Byggdelar;66GC;Functional grounding and levelling systems;;System för funktionsjordning och funktionsutjämning;
Byggdelar;66H;Electric or magnetic field limiting systems;;System för begränsning av elektriska eller magnetiska fält;
Byggdelar;66HB;Electric field limiting systems;;System för begränsning av elektriska fält;
Byggdelar;66HC;Magnetic field limiting systems;;System för begränsning av magnetiska fält;
Byggdelar;7;TRANSPORT SYSTEMS, ETC.;;TRANSPORTSYSTEM M M;
Byggdelar;71;LIFT SYSTEM;;HISSYSTEM;
Byggdelar;71B;Driving systems for lifts;;Drivsystem i hissinstallation;
Byggdelar;71BB;Driving systems in rope lift installations;;Drivsystem i linhissinstallation;
Byggdelar;71BC;Drive systems in hydraulic lift installations;;Drivsystem i hydraulhissinstallation;
Byggdelar;71BD;Drive system in screw lift installation;;Drivsystem i skruvhissinstallation;
Byggdelar;71BE;Drive system in chain lift installation;;Drivsystem i kedjehissinstallation;
Byggdelar;71BF;Drive system in rack and pinion lift installation;;Drivsystem i kuggstångshissinstallation;
Byggdelar;71BG;Drive system in rack and pinion lift installation;;Drivsystem i kuggremshissinstallation;
Byggdelar;71E;Control functions for lift traffic;;Styrfunktioner för trafik med hiss;
Byggdelar;71EA;Control systems in lift installations;;Styrsystem i hissinstallation;
Byggdelar;71EAB;Control systems in installations with passenger lifts;;Styrsystem i installation med persontillåtna hissar;
Byggdelar;71EABB;Control systems in single passenger lift installations;;Styrsystem i installation med ensam persontillåten hiss;
Byggdelar;71EABC;Control systems in installations with grouped passenger lifts;;Styrsystem i installation med persontillåtna hissar i grupp;
Byggdelar;71EAC;Control systems in installations with unattended lifts;;Styrsystem i installation med personförbjudna hissar;
Byggdelar;71EACB;Control system in goods lift installation;;Styrsystem i varuhissinstallation;
Byggdelar;71EB;Priority driving functions;;Prioritetskörningsfunktioner;
Byggdelar;71EC;Fire alarm function;;Brandlarmsfunktion;
Byggdelar;71ED;Fully occupied control function;;Fullsattkontrollfunktion;
Byggdelar;71EE;Door opening function;;Dörröppningsfunktion;
Byggdelar;71EF;Reset function;;Efterinställningsfunktion;
Byggdelar;71EG;Cover safety function;;Säkerhetsfunktion för täcklock;
Byggdelar;71EH;Emergency or backup power operation function;;Funktion för körning med nödkraft eller reservkraft;
Byggdelar;71EHB;Automatic emergency power operation;;Automatisk nödströmskörning;
Byggdelar;71EHC;Automatic emergency lowering;;Automatisk nödsänkning;
Byggdelar;71EJ;Indication functions;;Indikeringsfunktioner;
Byggdelar;71EJB;Acknowledgement indication function;;Funktion för kvitteringsindikering;
Byggdelar;71EJC;Busy indication function;;Funktion för upptagenindikering;
Byggdelar;71EJD;Arrival indication function;;Funktion för ankomstindikering;
Byggdelar;71EJE;Direction of travel indicator function;;Funktion för färdriktningsindikering;
Byggdelar;71EJF;Referral indication function;;Funktion för hänvisningsindikering;
Byggdelar;71EJG;Off indication function;;Funktion för avstängdindikering;
Byggdelar;71EJH;Stop indication function;;Funktion för stannplansindikering;
Byggdelar;71F;Operation monitoring system in lift installation;;Driftövervakningssystem i hissinstallation;
Byggdelar;71FB;Operational alarm and indication systems in lift installations;;Driftlarmsystem och driftindikeringssystem i hissinstallation;
Byggdelar;71FBB;Differentiated operational alarm systems in lift installation;;Differentierade driftlarmsystem i hissinstallation;
Byggdelar;71FBC;Buzzer alarm systems in lift installations;;Summalarmsystem i hissinstallation;
Byggdelar;71FBD;Differentiated operational alarm systems in lift installations with several lift groups;;Differentierade driftlarmsystem i hissinstallation med flera hissgrupper;
Byggdelar;71G;Emergency signalling systems in lift installations;;Nödsignalsystem i hissinstallation;
Byggdelar;71H;Communication systems in lift installations;;Kommunikationssystem i hissinstallation;
Byggdelar;73;ESCALATOR AND MOVING WALKWAY SYSTEMS;;RULLTRAPPSSYSTEM OCH RULLRAMPSSYSTEM;
Byggdelar;73B;Drive systems in escalator or moving walkway installations;;Drivsystem i installation med rulltrappa eller rullramp;
Byggdelar;73E;Control and monitoring systems in escalator or moving walkway installations;;Styr- och övervakningssystem i installation med rulltrappa eller rullramp;
Byggdelar;73EB;Control systems in escalator or moving walkway installations;;Styrsystem i installation med rulltrappa eller rullramp;
Byggdelar;73EBB;Control systems for continuous operation in escalator or moving walker installations;;Styrsystem för kontinuerlig drift i installation med rulltrappa eller rullramp;
Byggdelar;73EBC;Control system for continuous operation at standby speed in escalator or moving walkway installations;;Styrsystem för kontinuerlig drift med beredskapshastighet i installation med rulltrappa eller rullramp;
Byggdelar;73EBD;Control system for intermittent operation in escalator or moving walkway installations;;Styrsystem för intermittent drift i installation med rulltrappa eller rullramp;
Byggdelar;73EBE;Control system functions in escalator or moving walkway installations;;Funktioner i styrsystem i installation med rulltrappa eller rullramp;
Byggdelar;73EBEB;Fire alarm function;;Brandlarmsfunktion;
Byggdelar;73EBEC;Direction indication function for road users;;Funktion för färdriktningsindikering för trafikanter;
Byggdelar;73EBED;Remote control function;;Fjärrmanöverfunktion;
Byggdelar;73EC;Operation monitoring system in escalator or moving walkway installations;;Driftövervakningssystem i installation med rulltrappa eller rullramp;
Byggdelar;73ECB;Operational alarm system and operational indication system in escalator or moving walkway installations;;Driftlarmssystem och driftindikeringssystem i installation med rulltrappa eller rullramp;
Byggdelar;73ECBB;Differentiated operational alarms;;Differentierade driftlarm;
Byggdelar;73ECBC;Buzzer alarm;;Summalarm;
Byggdelar;73ECBD;Remote fault diagnosis system;;Fjärrdiagnossystem för fel;
Byggdelar;74;CRANE SYSTEMS;;KRANSYSTEM;
Byggdelar;75;TUBE POST SYSTEMS;;RÖRPOSTSYSTEM;
Byggdelar;76;SYSTEMS WITH MACHINE OPERATED GATE, DOOR, ETC.;;SYSTEM MED MASKINDRIVEN PORT, GRIND, DÖRR M M;
Byggdelar;76B;Machine operated gate system;;System med maskindriven port;
Byggdelar;76C;System with powered gate, bar etc.;;System med maskindriven grind, bom e d;
Byggdelar;76D;System with machine operated door;;System med maskindriven dörr;
Byggdelar;76E;System with power-operated movable wall m m;;System med maskindriven rörlig vägg m m;
